FPN_Global,"(Fronto-Parietal Network): The average signal across all FPN (also known as Central Executive Network) parcels. This tracks the overall activation of the large-scale network responsible for ""online"" task switching, sustained attention, and goal-directed cognitive control."
DMN_Global,"(Default Mode Network): The average signal across all DMN parcels. This tracks the overall activation of the network associated with the brain's ""resting"" state, mind-wandering, episodic memory retrieval, and self-referential internal thought."
SN_Global,"(Salience Network): The average signal across all Salience/Ventral Attention network parcels. This tracks the network that acts as a cognitive ""switch,"" detecting behaviorally relevant external or internal stimuli to direct attention."
FPN_dlPFC,"(Dorsolateral Prefrontal Cortex): The primary frontal hub of the FPN. Functionally associated with working memory, planning, and abstract reasoning."
FPN_PPC,(Posterior Parietal Cortex): The posterior hub of the FPN (including the Intraparietal Sulcus and Superior Parietal Lobule). Functionally coordinates with the prefrontal cortex to guide attention and integrate sensory information.
FPN_dACC_preSMA,"(Dorsal Anterior Cingulate Cortex & pre-Supplementary Motor Area): The medial component of the FPN. Functionally associated with action-selection, conflict resolution, and error monitoring."
DMN_mPFC,"(Medial Prefrontal Cortex): The anterior hub of the DMN. Functionally central to self-referential processing, social cognition, and evaluating emotional significance."
DMN_PCC_Precuneus,(Posterior Cingulate Cortex & Precuneus): The central posterior hub of the DMN. Highly metabolically active during rest and broadly involved in autobiographical memory and consciousness.
DMN_IPL,"(Inferior Parietal Lobule): The lateral parietal component of the DMN (specifically encompassing the Angular Gyrus). Functionally involved in semantic processing, reading, and memory retrieval."
DMN_MTL,(Medial Temporal Lobe): A distinct sub-system of the DMN that includes the Hippocampus and Parahippocampal Gyrus. Functionally critical for the encoding and retrieval of episodic memories.
SN_AnteriorInsula,"(Anterior Insula): The primary sensory/interoceptive node of the Salience Network. Functionally maps visceral states (e.g., heart rate, gut feelings) and integrates them with emotional awareness."
SN_ACC,(Anterior Cingulate Cortex): The executive node of the Salience Network. Works in tandem with the Anterior Insula to mobilize cognitive and motor resources once a salient stimulus is detected.
